registry_name,java_class,category,width,height,model_class,tier,artist_tier,animation_class,status,status_note,geo_file,rig_source,in_game,animation_file,bbmodel_file,spec_file,bones,cubes,clips_shipped,textures_referenced,canonical_textures,expected_scale,expected_shadow,pin_status,harness_proof,hitbox_profile,locked_bones,artist_scope,effort_hours,effort_source,client_files,notes
kyuubi,EntityKyuubi,MONSTER,0.5,1.25,KyuubiModel,2,Tier 2,gait-scaled — trigonometric pose depends on limbSwingAmount,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,kyuubi.geo.json,shipped,yes,kyuubi.animation.json,kyuubi.bbmodel,SPEC.md,42,42,0,1,1,1,0.1,pin,,,0,"full contract (Tier 2, the gait-scaled class (with hand-written FK chains on the tail and horns): geckolib_migration_design.md section 5); ON THE HOOK until idle and walk are delivered (Amendment 2): in-game through the seam behind the dev switch since the fourth Tier-2 slice (T2d, 2026-09-14)",26.4,generator: 4 h + 0.2 h/bone x 42 + 1 h/clip x 14 to author or improve (owner adjusts),KyuubiRenderer;KyuubiGeoReplacement;KyuubiModel,
leaf_monster,EntityLeafMonster,MONSTER,1,2.5,LeafMonsterModel,2,Tier 2,gait-scaled — trigonometric pose depends on limbSwingAmount,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,leafmonster.geo.json,shipped,yes,leafmonster.animation.json,leaf_monster.bbmodel,SPEC.md,5,5,0,1,1,1,0.65,pin,,,0,"full contract (Tier 2, the gait-scaled class (with an attacking branch that raises the figure): geckolib_migration_design.md section 5); ON THE HOOK until idle and walk are delivered (Amendment 2): in-game through the seam behind the dev switch since the fourth Tier-2 slice (T2d, 2026-09-14)",17,generator: 4 h + 0.2 h/bone x 5 + 1 h/clip x 12 to author or improve (owner adjusts),LeafMonsterRenderer;LeafMonsterGeoReplacement;LeafMonsterModel,
lurking_terror,EntityLurkingTerror,MONSTER,1.75,1.25,LurkingTerrorModel,2,Tier 2,state-branching — setupAnim branches on entity state,classic only,"Tier 2 model LurkingTerrorModel; no geo landed yet — packaged from the reference leg's converter output (reference_lurkingterror.geo.json: the rig is not yet in-game, its bone names final)",reference_lurkingterror.geo.json,reference-leg converter output,no,,lurking_terror.bbmodel,SPEC.md,59,59,0,1,1,0.85,0.3825,pin,reference_model_proofs.json,,0,"full contract (Tier 2, the state-branching class (an attacking branch on the mouth; client-side random latches on the legs and mouth): geckolib_migration_design.md section 5); the rig is not yet in-game (it lands through the seam in a later slice)",30.8,generator: 4 h + 0.2 h/bone x 59 + 1 h/clip x 15 to author or improve (owner adjusts),LurkingTerrorRenderer;LurkingTerrorModel,
mantis,EntityMantis,MONSTER,2.5,3.25,MantisModel,2,Tier 2,state-branching — setupAnim branches on entity state,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,mantis.geo.json,shipped,yes,mantis.animation.json,mantis.bbmodel,SPEC.md,36,36,0,1,1,1.1,0.99,pin,,,0,"full contract (Tier 2, the state-branching class (an attacking branch on the raptorial arms): geckolib_migration_design.md section 5); ON THE HOOK until idle and walk are delivered (Amendment 2): in-game through the seam behind the dev switch since the fifth Tier-2 slice (T2e, 2026-09-15)",21.2,generator: 4 h + 0.2 h/bone x 36 + 1 h/clip x 10 to author or improve (owner adjusts),MantisRenderer;MantisGeoReplacement;MantisModel,
molenoid,EntityMolenoid,MONSTER,3.9,2.6,MolenoidModel,2,Tier 2,gait-scaled — trigonometric pose depends on limbSwingAmount,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,molenoid.geo.json,shipped,yes,molenoid.animation.json,molenoid.bbmodel,SPEC.md,37,37,0,1,1,1,1,pin,,,0,"full contract (Tier 2, the gait-scaled (with an attacking branch) class: geckolib_migration_design.md section 5); ON THE HOOK until idle and walk are delivered (Amendment 2): in-game through the seam behind the dev switch since the fifth Tier-2 slice (T2e, 2026-09-15)",22.4,generator: 4 h + 0.2 h/bone x 37 + 1 h/clip x 11 to author or improve (owner adjusts),MolenoidRenderer;MolenoidGeoReplacement;MolenoidModel,
rat,EntityRat,MONSTER,0.25,0.5,RatModel,2,Tier 2,gait-scaled — trigonometric pose depends on limbSwingAmount,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,rat.geo.json,shipped,yes,rat.animation.json,rat.bbmodel,SPEC.md,12,12,0,1,1,0.75,0.075,pin,,,0,"full contract (Tier 2, the gait-scaled (with an attacking branch) class: geckolib_migration_design.md section 5); ON THE HOOK until idle and walk are delivered (Amendment 2): in-game through the seam behind the dev switch since the fifth Tier-2 slice (T2e, 2026-09-15)",16.4,generator: 4 h + 0.2 h/bone x 12 + 1 h/clip x 10 to author or improve (owner adjusts),RatRenderer;RatGeoReplacement;RatModel,
rotator,EntityRotator,MONSTER,1,2,RotatorModel,3,Tier 3,static — setupAnim contains no changing part transform,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,rotator.geo.json,shipped,yes,rotator.animation.json,rotator.bbmodel,SPEC.md,27,24,0,1,1,1,0.1,pin,s4_model_proofs.json,,0,none (Tier 3: code-driven; per-frame fan spin; render-instance clones),0,seed (owner-set),RotatorRenderer;RotatorGeoReplacement;RotatorModel,
scorpion,EntityScorpion,MONSTER,0.85,0.55,ScorpionModel,2,Tier 2,state-branching — setupAnim branches on entity state,classic only,"Tier 2 model ScorpionModel; no geo landed yet — packaged from the reference leg's converter output (reference_scorpion.geo.json: the rig is not yet in-game, its bone names final)",reference_scorpion.geo.json,reference-leg converter output,no,,scorpion.bbmodel,SPEC.md,22,22,0,1,1,0.75,0.2625,pin,reference_model_proofs.json,,0,"full contract (Tier 2, the state-branching class: geckolib_migration_design.md section 5); the rig is not yet in-game (it lands through the seam in a later slice)",21.4,generator: 4 h + 0.2 h/bone x 22 + 1 h/clip x 13 to author or improve (owner adjusts),ScorpionRenderer;ScorpionModel,
spit_bug,EntitySpitBug,MONSTER,2,2,SpitBugModel,2,Tier 2,gait-scaled — trigonometric pose depends on limbSwingAmount,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,spitbug.geo.json,shipped,yes,spitbug.animation.json,spit_bug.bbmodel,SPEC.md,93,93,0,1,1,0.75,0.4125,pin,,,0,"full contract (Tier 2, the gait-scaled (with an attacking branch) class: geckolib_migration_design.md section 5); ON THE HOOK until idle and walk are delivered (Amendment 2): in-game through the seam behind the dev switch since the fifth Tier-2 slice (T2e, 2026-09-15)",33.6,generator: 4 h + 0.2 h/bone x 93 + 1 h/clip x 11 to author or improve (owner adjusts),SpitBugRenderer;SpitBugGeoReplacement;SpitBugModel,
terrible_terror,EntityTerribleTerror,MONSTER,1,0.75,TerribleTerrorModel,2,Tier 2,simple cyclic — time/phase-driven trigonometric pose,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,terribleterror.geo.json,shipped,yes,terribleterror.animation.json,terrible_terror.bbmodel,SPEC.md,21,21,0,1,1,0.75,0.3375,pin,,,0,"full contract (Tier 2, the simple-cyclic (with a |cos| channel) class: geckolib_migration_design.md section 5); ON THE HOOK until idle and walk are delivered (Amendment 2)",18.2,generator: 4 h + 0.2 h/bone x 21 + 1 h/clip x 10 to author or improve (owner adjusts),TerribleTerrorRenderer;TerribleTerrorGeoReplacement;TerribleTerrorModel,
triffid,EntityTriffid,MONSTER,2,4,TriffidModel,2,Tier 2,state-branching — setupAnim branches on entity state,classic only,"Tier 2 model TriffidModel; no geo landed yet — packaged from the reference leg's converter output (reference_triffid.geo.json: the rig is not yet in-game, its bone names final)",reference_triffid.geo.json,reference-leg converter output,no,,triffid.bbmodel,SPEC.md,178,178,0,1,1,1,0.3,pin,reference_model_proofs.json,,0,"full contract (Tier 2, the state-branching class: geckolib_migration_design.md section 5); the rig is not yet in-game (it lands through the seam in a later slice)",50.6,generator: 4 h + 0.2 h/bone x 178 + 1 h/clip x 11 to author or improve (owner adjusts),TriffidRenderer;TriffidModel,
trooper_bug,EntityTrooperBug,MONSTER,3,3.5,TrooperBugModel,2,Tier 2,gait-scaled — trigonometric pose depends on limbSwingAmount,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,trooperbug.geo.json,shipped,yes,trooperbug.animation.json,trooper_bug.bbmodel,SPEC.md,134,134,0,1,1,1.1,1.045,pin,,,0,"full contract (Tier 2, the gait-scaled (with an attacking branch) class: geckolib_migration_design.md section 5); ON THE HOOK until idle and walk are delivered (Amendment 2): in-game through the seam behind the dev switch since the fifth Tier-2 slice (T2e, 2026-09-15)",49.8,generator: 4 h + 0.2 h/bone x 134 + 1 h/clip x 19 to author or improve (owner adjusts),TrooperBugRenderer;TrooperBugGeoReplacement;TrooperBugModel,
vortex,EntityVortex,MONSTER,2,4,VortexModel,3,Tier 3,static — empty setupAnim,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,vortex.geo.json,shipped,yes,vortex.animation.json,vortex.bbmodel,SPEC.md,1,1,0,1,1,1,0.1,pin,s4_model_proofs.json,,0,none (Tier 3: a static single cube),0,seed (owner-set),VortexRenderer;VortexGeoReplacement;VortexModel,
worm_small,EntityWormSmall,MONSTER,0.25,1,WormSmallModel,2,Tier 2,simple cyclic — time/phase-driven trigonometric pose,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,wormsmall.geo.json,shipped,yes,wormsmall.animation.json,worm_small.bbmodel,SPEC.md,3,3,0,1,1,1,0.1,pin,,,0,"full contract (Tier 2, the simple-cyclic (with position chains) class: geckolib_migration_design.md section 5); ON THE HOOK until idle and walk are delivered (Amendment 2)",14.6,generator: 4 h + 0.2 h/bone x 3 + 1 h/clip x 10 to author or improve (owner adjusts),WormSmallRenderer;WormSmallGeoReplacement;WormSmallModel,
worm_medium,EntityWormMedium,MONSTER,0.5,2,WormMediumModel,2,Tier 2,simple cyclic — time/phase-driven trigonometric pose,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,wormmedium.geo.json,shipped,yes,wormmedium.animation.json,worm_medium.bbmodel,SPEC.md,8,8,0,1,1,1,0.25,pin,,,0,"full contract (Tier 2, the simple-cyclic (with position chains) class: geckolib_migration_design.md section 5); ON THE HOOK until idle and walk are delivered (Amendment 2)",17.6,generator: 4 h + 0.2 h/bone x 8 + 1 h/clip x 12 to author or improve (owner adjusts),WormMediumRenderer;WormMediumGeoReplacement;WormMediumModel,
worm_large,EntityWormLarge,CREATURE,1.55,2.5,WormLargeModel,2,Tier 2,simple cyclic — time/phase-driven trigonometric pose,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,wormlarge.geo.json,shipped,yes,wormlarge.animation.json,worm_large.bbmodel,SPEC.md,23,23,0,1,1,1,0.9,pin,,,0,"full contract (Tier 2, the simple-cyclic (with position chains) class: geckolib_migration_design.md section 5); ON THE HOOK until idle and walk are delivered (Amendment 2)",20.6,generator: 4 h + 0.2 h/bone x 23 + 1 h/clip x 12 to author or improve (owner adjusts),WormLargeRenderer;WormLargeGeoReplacement;WormLargeModel,
baryonyx,Baryonyx,CREATURE,1.5,2.8,ModelBaryonyx,2,Tier 2,gait-scaled — trigonometric pose depends on limbSwingAmount,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,baryonyx.geo.json,shipped,yes,baryonyx.animation.json,baryonyx.bbmodel,SPEC.md,52,52,0,1,1,1,1,pin,,,0,"full contract (Tier 2, the gait-scaled class: geckolib_migration_design.md section 5); ON THE HOOK until idle and walk are delivered (Amendment 2): in-game through the seam behind the dev switch since the fourth Tier-2 slice (T2d, 2026-09-14)",22.4,generator: 4 h + 0.2 h/bone x 52 + 1 h/clip x 8 to author or improve (owner adjusts),BaryonyxRenderer;BaryonyxGeoReplacement,
beaver,Beaver,CREATURE,0.6,0.8,ModelBeaver,2,Tier 2,gait-scaled — trigonometric pose depends on limbSwingAmount,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,beaver.geo.json,shipped,yes,beaver.animation.json,beaver.bbmodel,SPEC.md,9,9,4,1,1,0.75,0.1125,pin,g1_model_proofs.json,,0,"full contract (the Tier-2 pilot, scope addendum A.4)",12.8,generator: 4 h + 0.2 h/bone x 9 + 1 h/clip x 7 to author or improve (owner adjusts),BeaverRenderer;BeaverGeoReplacedRenderer;BeaverGeoReplacement,
cassowary,Cassowary,CREATURE,0.5,1.2,ModelCassowary,2,Tier 2,gait-scaled — trigonometric pose depends on limbSwingAmount,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,cassowary.geo.json,shipped,yes,cassowary.animation.json,cassowary.bbmodel,SPEC.md,12,12,0,1,1,1,0.5,pin,,,0,"full contract (Tier 2, the gait-scaled class: geckolib_migration_design.md section 5); ON THE HOOK until idle and walk are delivered (Amendment 2): in-game through the seam behind the dev switch since the fourth Tier-2 slice (T2d, 2026-09-14)",13.4,generator: 4 h + 0.2 h/bone x 12 + 1 h/clip x 7 to author or improve (owner adjusts),CassowaryRenderer;CassowaryGeoReplacement,
chipmunk,Chipmunk,AMBIENT,0.35,0.35,ModelChipmunk,2,Tier 2,state-branching — setupAnim branches on entity state,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,chipmunk.geo.json,shipped,yes,chipmunk.animation.json,chipmunk.bbmodel,SPEC.md,18,18,0,1,1,0.9,0.135,pin,,,0,"full contract (Tier 2, the state-branching class (a sitting branch freezes the tail): geckolib_migration_design.md section 5); ON THE HOOK until idle and walk are delivered (Amendment 2): in-game through the seam behind the dev switch since the fifth Tier-2 slice (T2e, 2026-09-15)",16.6,generator: 4 h + 0.2 h/bone x 18 + 1 h/clip x 9 to author or improve (owner adjusts),ChipmunkRenderer;ChipmunkGeoReplacement,
cockateil,Cockateil,CREATURE,0.5,0.5,ModelCockateil,2,Tier 2,simple cyclic — time/phase-driven trigonometric pose,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,cockateil.geo.json,shipped,yes,cockateil.animation.json,cockateil.bbmodel,SPEC.md,16,16,6,6,6,0.75,0.225,pin,,,0,"full contract (Tier 2, the simple-cyclic class: geckolib_migration_design.md section 5)",11.2,generator: 4 h + 0.2 h/bone x 16 + 1 h/clip x 4 to author or improve (owner adjusts),CockateilRenderer;CockateilGeoReplacement,
coin,Coin,AMBIENT,1.5,1.5,ModelCoin,3,Tier 3,gait-scaled — non-cyclic pose/head or inherited gait inputs,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,coin.geo.json,shipped,yes,coin.animation.json,coin.bbmodel,SPEC.md,1,1,0,1,1,0.125,0.09375,pin,s4_model_proofs.json,,0,none (Tier 3: code-driven; the coin spins by formula),0,seed (owner-set),CoinRenderer;CoinGeoReplacement,
easter_bunny,EasterBunny,CREATURE,0.5,0.75,ModelEasterBunny,2,Tier 2,gait-scaled — trigonometric pose depends on limbSwingAmount,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,easterbunny.geo.json,shipped,yes,easterbunny.animation.json,easter_bunny.bbmodel,SPEC.md,13,13,0,1,1,1,0.5,pin,,,0,"full contract (Tier 2, the gait-scaled class (with a standing branch on the ears): geckolib_migration_design.md section 5); ON THE HOOK until idle and walk are delivered (Amendment 2): in-game through the seam behind the dev switch since the fourth Tier-2 slice (T2d, 2026-09-14)",14.6,generator: 4 h + 0.2 h/bone x 13 + 1 h/clip x 8 to author or improve (owner adjusts),EasterBunnyRenderer;EasterBunnyGeoReplacement,
flounder,Flounder,WATER_CREATURE,0.55,0.25,ModelFlounder,2,Tier 2,gait-scaled — trigonometric pose depends on limbSwingAmount,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,flounder.geo.json,shipped,yes,flounder.animation.json,flounder.bbmodel,SPEC.md,6,6,0,1,1,1,0.1,pin,,,0,"full contract (Tier 2, the gait-scaled class: geckolib_migration_design.md section 5); ON THE HOOK until idle and walk are delivered (Amendment 2): in-game through the seam behind the dev switch since the fourth Tier-2 slice (T2d, 2026-09-14)",11.2,generator: 4 h + 0.2 h/bone x 6 + 1 h/clip x 6 to author or improve (owner adjusts),FlounderRenderer;FlounderGeoReplacement,
frog,Frog,CREATURE,0.75,0.75,ModelFrog,2,Tier 2,state-branching — setupAnim branches on entity state,classic only,"Tier 2 model ModelFrog; no geo landed yet — packaged from the reference leg's converter output (reference_frog.geo.json: the rig is not yet in-game, its bone names final)",reference_frog.geo.json,reference-leg converter output,no,,frog.bbmodel,SPEC.md,10,10,0,1,1,1,0.35,pin,reference_model_proofs.json,,0,"full contract (Tier 2, the state-branching class: geckolib_migration_design.md section 5); the rig is not yet in-game (it lands through the seam in a later slice)",18,generator: 4 h + 0.2 h/bone x 10 + 1 h/clip x 12 to author or improve (owner adjusts),FrogRenderer,
gazelle,Gazelle,CREATURE,0.6,1.8,ModelGazelle,2,Tier 2,state-branching — setupAnim branches on entity state,classic only,"Tier 2 model ModelGazelle; no geo landed yet — packaged from the reference leg's converter output (reference_gazelle.geo.json: the rig is not yet in-game, its bone names final)",reference_gazelle.geo.json,reference-leg converter output,no,,gazelle.bbmodel,SPEC.md,34,34,0,1,1,1,0.45,pin,reference_model_proofs.json,,0,"full contract (Tier 2, the state-branching class: geckolib_migration_design.md section 5); the rig is not yet in-game (it lands through the seam in a later slice)",21.8,generator: 4 h + 0.2 h/bone x 34 + 1 h/clip x 11 to author or improve (owner adjusts),GazelleRenderer,
gold_fish,GoldFish,CREATURE,0.75,0.5,ModelGoldFish,2,Tier 2,simple cyclic — time/phase-driven trigonometric pose,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,goldfish.geo.json,shipped,yes,goldfish.animation.json,gold_fish.bbmodel,SPEC.md,16,16,7,1,1,1,0.2,pin,,,0,"full contract (Tier 2, the simple-cyclic class: geckolib_migration_design.md section 5)",11.2,generator: 4 h + 0.2 h/bone x 16 + 1 h/clip x 4 to author or improve (owner adjusts),GoldFishRenderer;GoldFishGeoReplacement,
island,Island,CREATURE,0.5,0.5,ModelIsland,3,Tier 3,gait-scaled — trigonometric pose depends on limbSwingAmount,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,island.geo.json,shipped,yes,island.animation.json,island.bbmodel,SPEC.md,3,3,0,1,1,1,0.25,pin,s4_model_proofs.json,,0,none (Tier 3: code-driven tumble),0,seed (owner-set),IslandRenderer;IslandGeoReplacement,
island_too,IslandToo,CREATURE,0.5,0.5,ModelIsland,3,Tier 3,gait-scaled — trigonometric pose depends on limbSwingAmount,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,islandtoo.geo.json,shipped,yes,islandtoo.animation.json,island_too.bbmodel,SPEC.md,3,3,0,1,1,1,0.25,pin,s4_model_proofs.json,,0,none (Tier 3: code-driven tumble),0,seed (owner-set),IslandTooRenderer;IslandTooGeoReplacement,
peacock,Peacock,AMBIENT,0.65,1.2,ModelPeacock,2,Tier 2,state-branching — setupAnim branches on entity state,classic only,"Tier 2 model ModelPeacock; no geo landed yet — packaged from the reference leg's converter output (reference_peacock.geo.json: the rig is not yet in-game, its bone names final)",reference_peacock.geo.json,reference-leg converter output,no,,peacock.bbmodel,SPEC.md,16,16,0,1,1,1,0.25,pin,reference_model_proofs.json,,0,"full contract (Tier 2, the state-branching class: geckolib_migration_design.md section 5); the rig is not yet in-game (it lands through the seam in a later slice)",16.2,generator: 4 h + 0.2 h/bone x 16 + 1 h/clip x 9 to author or improve (owner adjusts),PeacockRenderer,
whale,Whale,CREATURE,1.5,2.5,ModelWhale,2,Tier 2,gait-scaled — trigonometric pose depends on limbSwingAmount,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,whale.geo.json,shipped,yes,whale.animation.json,whale.bbmodel,SPEC.md,14,14,0,1,1,1,0.1,pin,,,0,"full contract (Tier 2, the gait-scaled class: geckolib_migration_design.md section 5); ON THE HOOK until idle and walk are delivered (Amendment 2): in-game through the seam behind the dev switch since the fifth Tier-2 slice (T2e, 2026-09-15)",15.8,generator: 4 h + 0.2 h/bone x 14 + 1 h/clip x 9 to author or improve (owner adjusts),WhaleRenderer;WhaleGeoReplacement,
ant,EntityAnt,CREATURE,0.1,0.1,AntModel,2,Tier 2,gait-scaled — trigonometric pose depends on limbSwingAmount,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,ant.geo.json,shipped,yes,ant.animation.json,ant.bbmodel,SPEC.md,20,20,3,1,1,0.25,0.025,pin,,,0,"full contract (Tier 2, the gait-scaled class: geckolib_migration_design.md section 5)",12,generator: 4 h + 0.2 h/bone x 20 + 1 h/clip x 4 to author or improve (owner adjusts),AntRenderer;AntGeoReplacement;AntModel,
cliff_racer,EntityCliffRacer,CREATURE,0.75,0.5,CliffRacerModel,2,Tier 2,simple cyclic — time/phase-driven trigonometric pose,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,cliffracer.geo.json,shipped,yes,cliffracer.animation.json,cliff_racer.bbmodel,SPEC.md,8,8,2,1,1,1,0.3,pin,,,0,"full contract (Tier 2, the simple-cyclic class: geckolib_migration_design.md section 5)",9.6,generator: 4 h + 0.2 h/bone x 8 + 1 h/clip x 4 to author or improve (owner adjusts),CliffRacerRenderer;CliffRacerGeoReplacement;CliffRacerModel,
cricket,EntityCricket,CREATURE,0.1,0.1,CricketModel,2,Tier 2,gait-scaled — trigonometric pose depends on limbSwingAmount,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,cricket.geo.json,shipped,yes,cricket.animation.json,cricket.bbmodel,SPEC.md,11,11,0,1,1,0.5,0.075,pin,,,0,"full contract (Tier 2, the gait-scaled (with the threshold idiom) class: geckolib_migration_design.md section 5); ON THE HOOK until idle and walk are delivered (Amendment 2)",13.2,generator: 4 h + 0.2 h/bone x 11 + 1 h/clip x 7 to author or improve (owner adjusts),CricketRenderer;CricketGeoReplacement;CricketModel,
dragonfly,EntityDragonfly,CREATURE,1.5,0.5,DragonflyModel,2,Tier 2,simple cyclic — time/phase-driven trigonometric pose,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,dragonfly.geo.json,shipped,yes,dragonfly.animation.json,dragonfly.bbmodel,SPEC.md,26,26,3,1,1,1.5,0.45,pin,,,0,"full contract (Tier 2, the simple-cyclic class: geckolib_migration_design.md section 5)",14.2,generator: 4 h + 0.2 h/bone x 26 + 1 h/clip x 5 to author or improve (owner adjusts),DragonflyRenderer;DragonflyGeoReplacement;DragonflyModel,
red_ant,EntityRedAnt,CREATURE,0.2,0.2,AntModel,2,Tier 2,gait-scaled — trigonometric pose depends on limbSwingAmount,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,ant.geo.json,shipped,yes,ant.animation.json,red_ant.bbmodel,SPEC.md,20,20,3,1,1,0.35,0.0525,pin,,,0,"full contract (Tier 2, the gait-scaled class: geckolib_migration_design.md section 5)",13,generator: 4 h + 0.2 h/bone x 20 + 1 h/clip x 5 to author or improve (owner adjusts),RedAntRenderer;RedAntGeoReplacement,
rainbow_ant,EntityRainbowAnt,CREATURE,0.1,0.1,AntModel,2,Tier 2,gait-scaled — trigonometric pose depends on limbSwingAmount,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,ant.geo.json,shipped,yes,ant.animation.json,rainbow_ant.bbmodel,SPEC.md,20,20,3,1,1,0.25,0.025,pin,,,0,"full contract (Tier 2, the gait-scaled class: geckolib_migration_design.md section 5)",12,generator: 4 h + 0.2 h/bone x 20 + 1 h/clip x 4 to author or improve (owner adjusts),RainbowAntRenderer;RainbowAntGeoReplacement,
stink_bug,EntityStinkBug,CREATURE,0.55,0.55,StinkBugModel,2,Tier 2,gait-scaled — trigonometric pose depends on limbSwingAmount,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,stinkbug.geo.json,shipped,yes,stinkbug.animation.json,stink_bug.bbmodel,SPEC.md,50,50,0,1,1,0.85,0.2975,pin,,,0,"full contract (Tier 2, the gait-scaled class: geckolib_migration_design.md section 5); ON THE HOOK until idle and walk are delivered (Amendment 2): in-game through the seam behind the dev switch since the fifth Tier-2 slice (T2e, 2026-09-15)",26,generator: 4 h + 0.2 h/bone x 50 + 1 h/clip x 12 to author or improve (owner adjusts),StinkBugRenderer;StinkBugGeoReplacement;StinkBugModel,
termite,EntityTermite,CREATURE,0.2,0.2,AntModel,2,Tier 2,gait-scaled — trigonometric pose depends on limbSwingAmount,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,ant.geo.json,shipped,yes,ant.animation.json,termite.bbmodel,SPEC.md,20,20,3,1,1,0.35,0.0525,pin,,,0,"full contract (Tier 2, the gait-scaled class: geckolib_migration_design.md section 5)",13,generator: 4 h + 0.2 h/bone x 20 + 1 h/clip x 5 to author or improve (owner adjusts),TermiteRenderer;TermiteGeoReplacement,
tshirt,EntityTshirt,MISC,4,4,TshirtModel,2,Tier 2,simple cyclic — time/phase-driven trigonometric pose,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,tshirt.geo.json,shipped,yes,tshirt.animation.json,tshirt.bbmodel,SPEC.md,2,2,2,1,1,0.33,0.33,pin,,,0,"full contract (Tier 2, the simple-cyclic class: geckolib_migration_design.md section 5)",7.4,generator: 4 h + 0.2 h/bone x 2 + 1 h/clip x 3 to author or improve (owner adjusts),TshirtRenderer;TshirtGeoReplacement;TshirtModel,
unstable_ant,EntityUnstableAnt,CREATURE,0.1,0.1,AntModel,2,Tier 2,gait-scaled — trigonometric pose depends on limbSwingAmount,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,ant.geo.json,shipped,yes,ant.animation.json,unstable_ant.bbmodel,SPEC.md,20,20,3,1,1,0.25,0.025,pin,,,0,"full contract (Tier 2, the gait-scaled class: geckolib_migration_design.md section 5)",12,generator: 4 h + 0.2 h/bone x 20 + 1 h/clip x 4 to author or improve (owner adjusts),UnstableAntRenderer;UnstableAntGeoReplacement,
boyfriend,Boyfriend,CREATURE,0.5,1.6,ModelBoyfriend,2,Tier 2,gait-scaled — inherits HumanoidModel movement-scaled gait,classic only,"Tier 2 model ModelBoyfriend; no geo landed yet — packaged from the reference leg's converter output (reference_boyfriend.geo.json: the rig is not yet in-game, its bone names final)",reference_boyfriend.geo.json,reference-leg converter output,no,,boyfriend.bbmodel,SPEC.md,7,7,0,48,48,1,0.55,pin,reference_model_proofs.json,,0,"full contract (Tier 2, the gait-scaled class (the vanilla biped: distance-phased limbs, time-phased arm sway): geckolib_migration_design.md section 5); the rig is not yet in-game (it lands on the hook in a Tier-2 slice as the Cannon Fodder did) - packaged from the reference leg's converter output over ModelBoyfriend's compiled LayerDefinition (reference_boyfriend, a geometry-only entry with no 1.7.10 source: TEST-010 (a), owner 2026-09-14, item 4); the seven vanilla HumanoidModel bone names are final",16.4,generator: 4 h + 0.2 h/bone x 7 + 1 h/clip x 11 to author or improve (owner adjusts),BoyfriendRenderer,
camarasaurus,Camarasaurus,CREATURE,0.5,1.2,ModelCamarasaurus,2,Tier 2,gait-scaled — trigonometric pose depends on limbSwingAmount,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,camarasaurus.geo.json,shipped,yes,camarasaurus.animation.json,camarasaurus.bbmodel,SPEC.md,21,21,0,1,1,0.65,0.4225,pin,,,0,"full contract (Tier 2, the gait-scaled class (the tail scaled by health; a hand-written FK chain on the neck and tail): geckolib_migration_design.md section 5); ON THE HOOK until idle and walk are delivered (Amendment 2): in-game through the seam behind the dev switch since the fourth Tier-2 slice (T2d, 2026-09-14)",17.2,generator: 4 h + 0.2 h/bone x 21 + 1 h/clip x 9 to author or improve (owner adjusts),CamarasaurusRenderer;CamarasaurusGeoReplacement,
